label,text_norm,count
ORG,dem,157
ORG,bur,129
ORG,mén,124
ORG,fem,120
ORG,Chambre,112
ORG,Reuter,106
ORG,Conseil,104
ORG,Agence Rossel,88
ORG,adr,84
ORG,Ch,71
ORG,Sénat,63
ORG,Parlement,62
ORG,ch,56
ORG,AG,55
ORG,K ON DEM,54
ORG,trav,53
ORG,pr,48
ORG,Inst,41
ORG,Téléphone,41
ORG,GALERIES,40
ORG,hom,38
ORG,Ford,33
ORG,fac,33
ORG,Gestapo,31
ORG,exlg,31
ORG,Finances,30
ORG,enf,30
ORG,com,29
ORG,Dem,28
ORG,Import,28
ORG,S,28
ORG,Constitution,26
ORG,K DEM,26
ORG,SS,26
ORG,con,26
ORG,CASIMIR,25
ORG,SCA,25
ORG,ministre des Affaires étrangères,25
ORG,A,24
ORG,ministre de l’Intérieur,24
ORG,AGENCE,23
ORG,CREDIT,23
ORG,méc,23
ORG,tr,23
ORG,Rap,22
ORG,dlm,22
ORG,LEOPOLD,21
ORG,Reich,21
ORG,ministre de la Défense nationale,21
ORG,Chevrolet,20
ORG,Citroën,20
ORG,Commission,20
ORG,Congo belge,20
ORG,Firme,20
ORG,Justice,20
ORG,kcs,20
ORG,urg,20
ORG,DEM,19
ORG,FIRME,19
ORG,GARAGE,19
ORG,Havas,19
ORG,REM,19
ORG,Banque Nationale,18
ORG,Comité,18
ORG,Référ,18
ORG,Secours de la Religion,18
ORG,Tél,18
ORG,anc,18
ORG,ministre des Finances,18
ORG,Couronne,17
ORG,Nations-Unies,17
ORG,ON DEM,17
ORG,TELEPHONES,17
ORG,Tokio,17
ORG,ts,17
ORG,AUTOMOBILE,16
ORG,DEPECHES,16
ORG,HP,16
ORG,U,16
ORG,Cour,15
ORG,GAND,15
ORG,OPEL,15
ORG,PARC,15
ORG,SOC,15
ORG,Sch,15
ORG,Soir,15
ORG,lmp,15
ORG,ÔN DEM,15
ORG,CENTRAL,14
ORG,Chambres,14
ORG,Chevalier,14
ORG,ELYSEE,14
ORG,G MEN,14
ORG,Intimité,14
ORG,Intér,14
ORG,Ucc,14
ORG,AFF,13
ORG,Agence Havas,13
ORG,Banque de Bruxelles,13
ORG,Eor,13
ORG,HABIT,13
ORG,Luftwaffe,13
ORG,MOGADOR,13
ORG,ODEON,13
ORG,Orchestre,13
ORG,PALLADIUM,13
ORG,ABON,12
ORG,Benelux,12
ORG,GAITE,12
ORG,INSERES,12
ORG,Ind,12
ORG,MIRANO,12
ORG,Ordre de Léopold,12
ORG,QUEENS,12
ORG,RITZ,12
ORG,Radio,12
ORG,Rosseï,12
ORG,Sabena,12
